name,address,city,price_level,cuisine,description,phone,url
同,中正區館前路22號2樓 (正旅館藍),Taipei,$$,"粵菜, 時尚菜",由經驗豐富的港籍主廚領軍，運用時令食材，融合個人創意與異國醬料，為經典粵菜增添趣味。依據午、晚時段提供兩種價位的套餐，亦有些許小炒可以加點。千錘百鍊黑叉燒使用臺灣五花肉，經過捶打將肉質軟化，再以馬來西亞黑醬油製成叉燒醬，色澤烏黑透亮，味道香甜不膩口。調酒飲品選擇多樣，呼應各種美食。,+886 976 684 366,https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/junto
鮨 嘉仁,中山區吉林路28號,Taipei,$$$$,壽司,吧檯以臺灣檜木製成，搭配日本漆器餐具，在柔和光影中感受空間的簡約與雅致。日籍料理長經驗豐富，每周從日本豐洲市場進貨兩次，確保食材的新鮮和多元。菜單以江戶前風格為基礎，依據魚貨的熟成狀態設計菜色，與粒粒分明的醋飯達致絕妙平衡。如果在春夏之際到訪，不要錯過招牌的小肌魚。,+886 2 2581 8999,https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/sushi-kajin
天婦羅 杉村,中山區樂群二路199號2樓 (中城廣場),Taipei,$$$$,天婦羅,這天婦羅店秉承其日本姊妹店的料理手法，輕盈的麵衣選用日本進口的麵粉，炸油則以玉米油及白胡麻油製成，讓其增添堅果奶油般的香氣。為了確保食材新鮮，餐廳每天進貨兩次，並因應食材調整菜單。搭配天婦羅的佐料，除了醬汁、海藻鹽，還有店家自製的咖喱鹽，別具特色。如在五、六月前往，將品嚐到招牌香魚料理。,+886 2 8501 1157,https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/tempura-sugimura
鯷魚,前鎮區林森三路116號,Kaohsiung,$$,時尚歐陸菜,食材由主廚每日於市場及前鎮漁港採買而來，菜色以魚肉料理為主軸，配合發酵、醃漬等技法，呈現獨特風味。僅提供套餐，當中固定保留招牌的螺肉藥膳湯，將當歸、川芎、瑤柱、花菇等食材與魚高湯一同熬煮，並重複澄清，味道溫潤鮮美，搭配野薑花的香氣，令人一試難忘。餐廳採取統一用餐時段，必須準時到達。,+886 965 829 037,https://guide.michelin.com/tw/zh_TW/kaohsiung-region/kaohsiung/restaurant/anchovy
白玉樓,前鎮區中華五路789號6樓 (夢時代),Kaohsiung,$$,臺灣菜,採用傳統卡座及圓桌，環境簡約雅致。餐廳傳承至第四代，主廚手藝來自父親，將六十年代的酒家菜延續至今。菜餚著重醬香風味，適合多人分享，另有個人套餐在平日供應，讓獨自用餐的客人也可嚐到不同菜餚。其中白菜滷選用金鉤蝦米、扁魚與雞骨等以小火慢燉至少三小時，最後加入干貝絲增添鮮味，是不能錯過的招牌菜。,+886 7 841 8555,https://guide.michelin.com/tw/zh_TW/kaohsiung-region/kaohsiung/restaurant/pale-jade-pavilion
山与,西屯區惠來路一段88號,Taichung,$$$$,粵菜,入口處設有天然石櫃台，牆壁刷上紅土漆，搭配藝術品點綴，風格別致大氣。來自香港的主廚擅長烹調粵菜，提供四種不同價位的套餐，包含經典手路菜、創意料理，還有以日本花菇、澳洲八頭乾鮑等珍貴食材入菜的菜色，並會按照時令，每季更新菜單。所有座位均為包廂，舒適且具有隱私。,+886 4 2251 5208,https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/shineyu
Lin,大安區仁愛路四段300巷25弄6號,Taipei,$$$,時尚法國菜,餐廳位於寧靜的巷弄裡，室內設有開放式廚房，讓客人觀賞整個烹調過程。主廚擁有多年精緻餐飲的經驗，菜單以傳統法餐為概念，當中融合臺灣食材與主廚的旅遊經驗。不妨加點傳統柑橘可麗餅，廚師會在席前現場製作，可麗餅煮至軟嫩，同時保有柑橘香氣，為用餐體驗畫下完美句號。,+886 2 2368 7868,https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/lin
明娟樓,西區館前路77號2樓 (勤美洲際酒店),Taichung,$$$,粵菜,環境精緻華美而氣氛愜意，不論是商務宴請或朋友聚會，都能盡興而歸。由經驗豐富的廚師掌杓，菜單保留粵菜的精髓之餘融入創意巧思，並大量採用臺灣時令水果與茶葉。如軟嫩多汁的烏龍茶香蜜汁叉燒，不僅有麥芽糖的香甜，還滲出蜂蜜鳳梨醬的果香，十分推薦，惟每日限量製作，須提前預留。也別錯過濃椰芋香西米露。,+886 4 2324 6324,https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/ming-juan-lou
Yuu,大安區忠孝東路四段216巷33弄15號,Taipei,$$$$,創新菜,餐廳以木牆面配上黑色吧檯，形成沉穩的空間氛圍。主廚曾在日本深造多年，將其自身經驗結合不同國家的料理風格，運用直火方式呈現菜餚。午、晚餐各提供不同價位的套餐，並根據當天的食材更換菜單內容。招牌牛肉的產地包括美國、澳洲、日本的佐賀和近江，經過主廚的巧手匠心，展現出各自的風味和特色。,+886 2 2711 2080,https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/yuu
AJIMI,大安區四維路52巷19弄5號,Taipei,$$$$,日本菜,這家在福岡發源的餐廳，菜單採用無菜單料理形式，主廚將臺灣時令食材融入精緻的割烹料理之中。不要錯過烤味噌烏魚子，賣相雖簡單，一口咬下卻是外脆內軟、鮮香洋溢，是主廚得意之作。提供清酒搭配，令餐飲體驗更圓滿。店內提供12個板前座位，亦設有日式茶室，整體氣氛平和寧靜。,+886 2 2703 1881,https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/ajimi
