category,top_keys
政治,"[('賴清德', 43), ('卓榮泰', 39), ('川普', 38), ('徐巧芯', 27), ('蔣萬安', 20), ('郭智輝', 13), ('林佳龍', 12), ('蕭美琴', 12), ('卓揆', 11), ('柯建銘', 10), ('鄭麗君', 10), ('李慧芝', 10), ('柯文哲', 9), ('史雪燕', 8), ('傅崐萁', 8), ('吳釗燮', 8), ('陳玉珍', 6), ('王世堅', 6), ('羅智強', 5), ('劉世芳', 5), ('蔡英文', 5), ('韓國瑜', 5), ('蔡明彥', 5), ('楊金龍', 5), ('秦慧珠', 4), ('郭國文', 4), ('鄭世忠', 4), ('張惠霖', 4), ('楊珍妮', 4), ('吳宗憲', 3), ('許芷瑜', 3), ('簡舒培', 3), ('彭金隆', 3), ('陳怡君', 3), ('劉揚偉', 3), ('李彥秀', 2), ('許智傑', 2), ('清德', 2), ('榮泰', 2), ('黃國昌', 2), ('吳介民', 2), ('鄭英耀', 2), ('聶建中', 2), ('陳子昂', 2), ('吳秉叡', 2), ('Dan Silver', 2), ('邱世元', 2), ('黃取榮', 2), ('吳尚雨', 2), ('何欣純', 2), ('張善政', 2), ('許勝雄', 2), ('何晉滄', 2), ('呂欣玫', 1), ('楊岳達', 1), ('布羅智強', 1), ('黃捷則', 1), ('林楚茵', 1), ('莊瑞雄', 1), ('蔣萬安也', 1), ('蝴蝶蘭', 1), ('吳郭魚', 1), ('上億', 1), ('2千億', 1), ('陳乃瑜', 1), ('徐筱菁', 1), ('陳春暖', 1), ('曾玟學', 1), ('雪燕', 1), ('邱垂正', 1), ('梁文傑', 1), ('陳明祺', 1), ('蕭秉儀', 1), ('黃偉財', 1), ('蔡明', 1), ('巧芯', 1), ('蔣萬安今', 1), ('林延鳳', 1), ('趙怡翔', 1), ('莊翠雲', 1), ('賴清', 1), ('貝森特', 1), ('張惇涵', 1), ('沈慶京', 1), ('應曉薇', 1), ('張峻', 1), ('鐘景琨', 1), ('柯志恩', 1), ('李坤城', 1), ('卓榮泰準', 1), ('彭金', 1), ('卓榮', 1), ('陳怡', 1), ('賴瑞隆', 1), ('白3', 1), ('何欣', 1), ('伍勝園', 1), ('世堅', 1), ('裕隆', 1), ('施振榮', 1), ('陳俊聖', 1), ('胡書賓', 1), ('4號', 1), ('侯永清', 1), ('郭雅慧', 1), ('龔明鑫', 1), ('晉滄', 1), ('麥克風', 1), ('鍾佳濱', 1), ('建銘', 1), ('蘇紫雲', 1), ('林傳盛', 1), ('吳思瑤', 1), ('賴士葆', 1), ('朱立倫', 1), ('王鴻薇', 1)]"
科技,[]
體育,"[('陳傑憲', 40), ('陳偉殷', 27), ('林智勝', 22), ('孫易磊', 21), ('徐若熙', 19), ('林昀儒', 16), ('張建偉', 16), ('張育成', 16), ('王博玄', 16), ('李雅英', 14), ('莊陳仲敖', 14), ('曾豪駒', 13), ('李相秀', 11), ('鄭宗哲', 10), ('陳文杰', 10), ('林佳緯', 10), ('伍祐城', 10), ('蔣少宏', 9), ('宋晟睿', 8), ('曾峻岳', 8), ('林子偉', 8), ('蔡其昌', 7), ('吳念庭', 7), ('林昀', 6), ('曹家宜', 6), ('尼加拉瓜', 6), ('張本智', 5), ('李珠珢', 5), ('李佳豪', 5), ('沙子宸', 5), ('李宗賢', 5), ('雅英', 4), ('石宇奇', 4), ('李珠', 4), ('恩卡納西昂', 4), ('陳仲敖', 4), ('安古羅', 4), ('五千', 3), ('安芝', 3), ('菊池桃子', 3), ('李丹妃', 3), ('林岳平', 3), ('廉世彬', 3), ('許維智', 3), ('艾斯特拉達', 3), ('柯曼列茲', 3), ('利諾', 3), ('賀南德茲', 3), ('高宇杰', 3), ('陳宇宏', 3), ('道森', 3), ('阿列古利亞', 3), ('汪奕嘉', 2), ('林高遠', 2), ('松島', 2), ('王志群', 2), ('莊瑞雄', 2), ('陳偉', 2), ('蘇泰安', 2), ('傑憲', 2), ('安芝儇', 2), ('費爾柴德', 2), ('陳韻文', 2), ('林昱珉', 2), ('梅賽斯', 2), ('彭政閔', 2), ('拉索', 2), ('念庭', 2), ('貝爾崔', 2), ('貝爾', 2), ('宋晟睿 ', 2), ('朱育賢', 2), ('陳柏毓', 2), ('徐翔聖', 2), ('李維拉', 2), ('尼加拉', 2), ('米蘭達', 2), ('陳重羽', 2), ('鄧愷威', 1), ('薛爾頓', 1), ('周春米', 1), ('馮文龍', 1), ('陳韋仁', 1), ('小林同學', 1), ('薛飛', 1), ('布朗', 1), ('林德', 1), ('張本智和', 1), ('張本', 1), ('張健偉', 1), ('江坤宇', 1), ('劉基鴻', 1), ('王林智', 1), ('張政禹', 1), ('郭天信', 1), ('2億男', 1), ('王秀', 1), ('韓援', 1), ('孫協志', 1), ('瑩瑩', 1), ('Wing Star', 1), ('中文', 1), ('ngo', 1), ('韓籍', 1), ('安之儇', 1), ('Mingo', 1), ('李珠垠', 1), ('趙娟', 1), ('日龍', 1), ('蘇智傑', 1), ('曾頌恩', 1), ('林書弘', 1), ('劉啟宇', 1), ('桃子', 1), ('富邦', 1), ('謝淑薇', 1), ('李珠恩', 1), ('Wander Encarnación', 1), ('d player', 1), ('Prontoo', 1), ('林佳', 1), ('晟睿', 1), ('山本由伸', 1), ('大谷翔平', 1), ('維智', 1), ('銳歐', 1), ('陳柏清', 1), ('林安可', 1), ('雷耶斯', 1), ('萬波中正', 1), ('林岱安', 1), ('清宮幸太郎', 1), ('林睿煬', 1), ('古林', 1), ('林晃弘', 1), ('Rakuten Girls', 1), ('염세빈', 1), ('樂天桃猿', 1), ('趙士強', 1), ('陳傑', 1), ('摩金鶯', 1), ('馬林魚', 1), ('千葉羅德', 1), ('WBC', 1), ('貝爾崔（Engel Beltre', 1), ('三振', 1), ('r Estrada', 1), ('一安', 1), ('瓦列里歐（Edison Valerio）', 1), ('壘安', 1), ('賈西亞', 1), ('瓦列里歐', 1), ('高飛球', 1), ('艾斯特拉', 1), ('瓦列里', 1), ('南德茲', 1), ('艾瓦列茲', 1), ('朗登', 1), ('日20歲', 1), ('易磊', 1), ('栗原陵', 1), ('林家正', 1), ('徐翔聖賽', 1), ('足球', 1), ('伍祐', 1), ('提斯', 1), ('張育成傳球', 1), ('legria', 1), ('札馬拉（Freddy Zamora）', 1), ('孟多薩', 1), ('李宗', 1), ('呂詠臻', 1), ('雷頓', 1), ('陳柏豪', 1), ('札馬拉', 1), ('林維恩', 1), ('蔣少宏 ', 1), ('徐翔', 1)]"
運動,[]
證卷,[]
產經,[]
娛樂,"[('金賽綸', 89), ('金秀賢', 57), ('趙駿亞', 17), ('張學友', 13), ('包偉銘', 12), ('姚元浩', 12), ('金秀', 12), ('包偉', 11), ('吳婉君', 11), ('郭泓志', 10), ('李多慧', 10), ('曾國城', 10), ('蕭敬騰', 10), ('侯佩岑', 10), ('杜力', 8), ('李鎮浩', 8), ('蔡琴', 7), ('Andy', 7), ('白安', 6), ('張菲', 6), ('周杰倫', 6), ('張家輝', 5), ('周子瑜', 5), ('林芯儀', 5), ('李雅英', 5), ('劉俊謙', 4), ('莎莎', 4), ('蔡秀彬', 4), ('韓星', 4), ('田馥', 4), ('陶晶瑩', 4), ('陶昕然', 4), ('吳心緹', 4), ('黎安友', 4), ('宥勝', 3), ('李敏鎬', 3), ('家寧', 3), ('黃子佼', 3), ('孟耿如', 3), ('祖雄', 3), ('錢薇娟', 3), ('林益如', 3), ('張綺云', 2), ('川普', 2), ('木村拓哉', 2), ('賽綸', 2), ('金賽', 2), ('吳彥祖', 2), ('中孝介', 2), ('金城武', 2), ('李珠', 2), ('顏志琳', 2), ('何建澤', 2), ('YouTub', 2), ('南珉貞', 2), ('陳德容', 2), ('韓星金秀賢', 2), ('莊錠欣', 2), ('卜學亮', 2), ('錢姐', 2), ('慈惠', 1), ('隋棠', 1), ('文中', 1), ('劉德華', 1), ('港星', 1), ('姚元', 1), ('鮑比達', 1), ('20億', 1), ('林芯', 1), ('木村', 1), ('木村拓', 1), ('韓星玉澤', 1), ('金秀賢變', 1), ('淚之男王', 1), ('金秀賢坦言', 1), ('金賽綸阿姨', 1), ('平凡', 1), ('吳彥', 1), ('金秀賢3', 1), ('張惠妹', 1), ('林俊傑', 1), ('田馥甄', 1), ('楊宗', 1), ('中孝', 1), ('城武', 1), ('金秀賢基', 1), ('趙駿', 1), ('賴心', 1), ('陳冠旻', 1), ('周渝民', 1), ('薛仕凌', 1), ('楊貴媚', 1), ('謝欣穎', 1), ('張軒睿', 1), ('于子育', 1), ('劉子銓', 1), ('白潤音', 1), ('林君陽', 1), ('呂蒔媛', 1), ('孟耿', 1), ('晶瑩', 1), ('24號', 1), ('羅霈穎', 1), ('鄭家純', 1), ('馮云', 1), ('HE FACT', 1), ('Andy方', 1), ('林有慧', 1), ('Summe', 1), ('汪達', 1), ('Summer', 1), ('中文', 1), ('珉貞', 1), ('李雅英語', 1), ('林祐任 ', 1), ('馬來西亞籍', 1), ('周侯戀', 1), ('珊瑚海', 1), ('佩岑', 1), ('瓊瑤', 1), ('50歲', 1), ('YouTuber', 1), ('百萬', 1), ('櫻花', 1), ('櫻花季', 1), ('李欣展', 1), ('郭哥', 1), ('卜學', 1), ('顏佑庭', 1), ('益如', 1), ('溫文儒', 1), ('曹佑寧', 1), ('柳朝琴', 1), ('念軒', 1), ('黃河', 1), ('黃少祺', 1), ('金秀賢方', 1)]"
生活,[]
國際,"[('川普', 150), ('尹錫悅', 14), ('范斯', 11), ('石破茂', 11), ('納瓦羅', 8), ('貝森特', 7), ('李威特', 6), ('馬斯克', 5), ('赫格塞斯', 5), ('張永騰', 4), ('韋仁', 4), ('陳韋仁', 4), ('劉泳暐 ', 4), ('盧特尼克', 4), ('張立德 ', 3), ('拜登', 3), ('林劍', 3), ('哈塞特', 3), ('尹錫', 3), ('Prada', 2), ('林祐任', 2), ('劉泳暐', 2), ('范德賴恩', 2), ('韓東勳', 2), ('習近平', 2), ('近平', 2), ('韓德洙', 2), ('大谷翔平', 2), ('艾克曼', 2), ('韓悳洙', 2), ('安華', 2), ('艾瑞克', 2), ('魏科夫', 1), ('阿拉奇', 1), ('邱楷雯 ', 1), ('健怡', 1), ('小羅勃甘迺迪', 1), ('祐任 ', 1), ('納瓦羅（Peter Navarro', 1), ('Karoline Leavitt', 1), ('納瓦', 1), ('林祐', 1), ('葛里爾（Jamieson Greer）', 1), ('葛里爾', 1), ('范德賴恩 ', 1), ('reer', 1), ('丹尼索瓦', 1), ('闕帝', 1), ('莫里斯', 1), ('林祐任 ', 1), ('孟昭文', 1), ('張永騰 ', 1), ('李嘉誠', 1), ('尹錫悅戒', 1), ('蘇西亞妮', 1), ('闕帝慈 ', 1), ('莫爾伯瑞', 1), ('辛格爾特里', 1), ('霍根', 1), ('Howard Lutnick', 1), ('陳毓麟', 1), ('李維特', 1), ('丹‧艾伍士', 1), ('張立德', 1), ('巴佬', 1), ('白宮', 1), ('倫斯基', 1), ('泳暐 ', 1), ('薩克斯', 1), ('川普誇', 1), ('石破茂7號', 1), ('赤澤亮正', 1), ('哈利波特', 1), ('大谷', 1), ('艾克', 1), ('布蘭森', 1), ('imon', 1), ('億萬', 1), ('Elon Musk', 1), ('avarro', 1), ('賴清德', 1), ('塞特', 1), ('陳毓麟 ', 1), ('闕帝慈', 1), ('加巴德', 1), ('onald Trump', 1), ('川普6', 1), ('彭博', 1), ('傅洛曼', 1), ('文炯培', 1), ('朴槿惠', 1), ('吳連哲 ', 1), ('歐盟', 1), ('巫文嘉 ', 1)]"
社會,"[('謝宜容', 22), ('柯文哲', 11), ('林岱樺', 7), ('楊智翔', 7), ('陳佩琪', 5), ('李亭熙', 4), ('孟憲法', 4), ('郭哲敏', 3), ('陳怡君', 3), ('張惠霖', 3), ('陳柏璋', 2), ('吳柔廷', 2), ('黃致堯', 2), ('賴心怡', 2), ('林憶君', 2), ('清明', 2), ('張綱維', 2), ('法拉利', 2), ('游錫堃', 2), ('林三郎', 1), ('林岱樺二', 1), ('劉怡孜', 1), ('黃富祺', 1), ('王夢婷', 1), ('簡宏修', 1), ('孫福佑', 1), ('陳世杰', 1), ('房東', 1), ('鄧姓', 1), ('Gambler楊智翔', 1), ('潘欣宜', 1), ('謝宜', 1), ('李毓倫', 1), ('台視新聞', 1), ('陳勁曄', 1), ('鄭艮祐', 1), ('佩珊', 1), ('廖俊德', 1), ('男觸法', 1), ('楊秦恒', 1), ('李育昇', 1), ('冠旻', 1), ('林茂盛', 1), ('陳姓', 1), ('陳冠旻', 1), ('饒哲', 1), ('饒哲銘', 1), ('謝艾純', 1), ('蔣睦宇', 1), ('陳冠齊', 1), ('\xa0嘉義', 1), ('蔡崇梧', 1), ('黃于臻', 1), ('黃鈺君', 1), ('詹明佳', 1), ('葉嘉雯', 1), ('羅美玲', 1), ('盛礎纓', 1), ('鄭男', 1)]"
